no._of_cases,tempmax,tempmin,temp,humidity,precip,precipcover,Number of searches,Total Population 
744,32.614285714285714,27.12857142857143,29.542857142857144,75.98571428571428,1.0665714285714285,1.1914285714285715,45,5469724.0
633,32.75714285714285,26.942857142857143,29.8,73.58571428571429,3.472714285714286,0.5957142857142858,45,5469724.0
484,31.685714285714287,25.842857142857145,28.571428571428573,79.11428571428571,5.754714285714286,3.5714285714285716,34,5469724.0
545,30.74285714285714,26.157142857142855,28.24285714285714,77.54285714285713,2.529857142857143,4.762857142857143,34,5469724.0
438,29.885714285714283,25.385714285714283,27.45714285714286,80.22857142857143,5.606,4.1657142857142855,34,5469724.0
418,31.47142857142857,26.099999999999998,28.357142857142858,78.5,3.1332857142857145,4.167142857142857,34,5469724.0
367,30.585714285714285,24.457142857142856,27.285714285714285,81.34285714285714,17.239714285714285,6.545714285714285,34,5469724.0
339,32.08571428571429,25.32857142857143,28.47142857142857,75.10000000000001,1.2155714285714285,1.7857142857142858,23,5469724.0
362,32.17142857142857,25.97142857142857,28.842857142857145,75.72857142857143,0.6201428571428572,1.7871428571428571,23,5469724.0
396,32.34285714285714,26.52857142857143,29.114285714285717,73.68571428571428,3.8957142857142855,1.19,23,5469724.0
344,32.6,25.87142857142857,28.928571428571427,73.5,4.030571428571428,2.9757142857142855,23,5469724.0
339,32.17142857142857,26.02857142857143,29.014285714285712,73.48571428571428,0.7441428571428571,1.19,20,5469724.0
278,32.5,26.957142857142856,29.37142857142857,71.75714285714285,0.02428571428571429,0.5957142857142858,20,5469724.0
297,32.75714285714286,25.62857142857143,28.5,78.39999999999999,4.638428571428571,3.5714285714285716,20,5469724.0
213,32.2,25.814285714285713,28.657142857142855,76.3,1.2401428571428572,3.5714285714285716,20,5469724.0
186,32.91428571428571,25.814285714285713,28.67142857142857,77.74285714285715,8.681714285714285,4.761428571428572,16,5469724.0
168,32.285714285714285,25.02857142857143,28.085714285714285,78.57142857142857,12.104857142857144,8.928571428571429,16,5469724.0
158,32.142857142857146,24.985714285714288,27.400000000000002,81.88571428571427,12.143285714285714,8.331428571428571,16,5469724.0
149,31.428571428571427,25.37142857142857,27.47142857142857,84.18571428571428,1.7247142857142859,5.358571428571429,16,5469724.0
162,31.928571428571427,25.3,27.82857142857143,81.97142857142856,5.609000000000001,6.547142857142857,16,5469724.0
212,31.614285714285717,24.87142857142857,27.728571428571428,79.72857142857143,13.32042857142857,5.951428571428571,16,5469724.0
177,32.042857142857144,25.8,28.32857142857143,76.42857142857143,0.24442857142857144,1.1914285714285715,16,5469724.0
198,30.8,25.314285714285713,27.271428571428572,83.81428571428572,5.057571428571428,7.142857142857143,16,5469724.0
188,30.0,24.642857142857142,26.67142857142857,86.24285714285715,11.851142857142857,8.930000000000001,16,5469724.0
158,29.37142857142857,24.7,26.771428571428572,78.47142857142856,0.31828571428571434,2.3814285714285717,16,5535002.0
256,29.37142857142857,24.7,26.771428571428572,78.47142857142856,0.31828571428571434,2.3814285714285717,16,5535002.0
228,30.785714285714285,24.8,26.8,82.04285714285713,9.699,6.545714285714285,16,5535002.0
