datetime,tempmax,tempmin,temp,humidity,precip,precipcover
2012-12-09,31.2,25.7,27.8,79.6,0,0
2012-12-10,32.1,25.4,27.3,82,8.518,12.5
2012-12-11,30.3,23.7,26.7,85.9,23.935,8.33
2012-12-12,31.8,23.9,26.4,86.9,10.418,8.33
2012-12-13,30.7,23.6,25.9,90.6,56.869,25
2012-12-14,31.4,24.5,27.4,84.7,1.068,8.33
2012-12-15,30.9,25.7,27.8,83.7,2.258,20.83
2012-12-16,31.4,24.9,26.4,87.9,2.941,20.83
2012-12-17,30.9,24.6,26.6,86.4,10.185,16.67
2012-12-18,29.1,24.3,25.8,89.6,13.486,4.17
2012-12-19,30.6,24,26.4,87.7,14.429,12.5
2012-12-20,32.1,23.9,27.7,82.6,6.798,16.67
2012-12-21,32.7,25.5,28.1,81.4,1.212,12.5
2012-12-22,31.9,24.6,27.1,84.8,20.138,12.5
2012-12-23,31.5,24.9,27.5,82.8,0,0
2012-12-24,29.9,25.7,27.1,81.7,0,0
2012-12-25,27.8,24,25.6,88.6,2.618,12.5
2012-12-26,30.6,24.1,26.9,81.1,0,0
2012-12-27,29.4,24.9,27.2,81.6,0,0
2012-12-28,30.6,24.9,27.6,81.4,3.411,8.33
2012-12-29,30.9,25.7,27.4,83.9,0,0
2012-12-30,31.5,25.9,27.6,86.7,6.765,25
2012-12-31,29,22.9,25.7,91.1,68.586,16.67
2013-01-01,32.8,24.1,27.5,81.6,68.47,8.33
2013-01-02,31.5,24,27,84.6,6.762,8.33
2013-01-03,32.4,24.9,27.2,85.5,3.473,4.17
2013-01-04,31.4,24.9,27.8,80.6,0.695,4.17
2013-01-05,31.6,25.9,28.1,79.2,0,0
2013-01-06,33.2,24.7,28.4,75.9,0,0
2013-01-07,34.9,25.9,29.8,68.9,0,0
2013-01-08,33.2,24.9,27.6,80.8,17.364,4.17
2013-01-09,32.8,24.1,27.1,82.3,36.463,8.33
2013-01-10,31.3,24.8,27.4,78.2,0,0
2013-01-11,31.5,25.9,28.1,77.6,0,0
2013-01-12,31.8,25.8,28,77.2,0.695,4.17
2013-01-13,31.2,24.9,26.7,84.8,22.99,12.5
2013-01-14,31.4,25.5,27.6,80.3,0,0
2013-01-15,31.5,25.6,27.7,76.8,0.144,4.17
2013-01-16,29.6,25.8,27.5,77.8,0,0
2013-01-17,31.5,25.7,27.9,70,0,0
2013-01-18,32.8,24.7,27.5,76.9,1.012,8.33
2013-01-19,25,22.9,24.1,94.7,106.731,33.33
2013-01-20,26.3,23.9,24.8,93.7,12.338,29.17
2013-01-21,31.6,24,27.2,82.5,0.967,12.5
2013-01-22,28.9,24,26.2,87.6,3.523,8.33
2013-01-23,31.5,24.9,27.6,80.5,0,0
2013-01-24,30.5,25.1,27.5,80.3,0.174,4.17
2013-01-25,31.5,24.9,27.6,77.2,0,0
2013-01-26,31.3,25.6,27.8,72.4,0,0
2013-01-27,31.5,24.6,27.6,74.2,0,0
2013-01-28,30.9,25.7,27.9,74.1,0,0
2013-01-29,31.6,24.8,27.6,74.6,0,0
2013-01-30,31.9,24.7,27.8,73.8,0,0
2013-01-31,31.9,25.5,28,76.7,0,0
2013-02-01,32.5,25.9,28.3,76.2,0,0
2013-02-02,32.8,25.9,28.7,72.3,0,0
2013-02-03,27.7,25,26.4,89,35.361,20.83
2013-02-04,29.6,24.6,27,85.5,3.284,8.33
2013-02-05,30.4,24.1,26.9,85.3,1.91,8.33
2013-02-06,29.8,24.7,26,88.3,9.387,20.83
2013-02-07,31.5,24.9,27.2,85.6,0,0
2013-02-08,30.5,24.9,26.4,89,9.108,12.5
2013-02-09,31.6,23.9,26.8,86.1,2.163,4.17
2013-02-10,26.1,23.4,25,92.1,40.617,25
2013-02-11,29.2,23.9,25.9,87.8,42.035,16.67
2013-02-12,29.2,23.9,26,88.5,4.515,8.33
2013-02-13,31.3,24.9,27.3,84,0.347,4.17
2013-02-14,28.4,23.8,25.3,93.1,73.371,25
2013-02-15,30.5,23.8,26.1,86.4,3.647,8.33
2013-02-16,29.9,25,26.4,86,0,0
2013-02-17,26.1,24.6,25.2,89,0.895,12.5
2013-02-18,30.9,24.7,26.7,85.4,13.744,8.33
2013-02-19,28,24.9,26.6,84.8,0.441,8.33
2013-02-20,31.6,24.9,27.6,79,0,0
2013-02-21,30.5,25,27.1,80.7,3.114,8.33
2013-02-22,32.4,25,28.1,73.7,0.521,4.17
2013-02-23,33.4,24.8,28.6,71.5,0,0
2013-02-24,30.9,25.8,28.2,75.6,0.144,4.17
2013-02-25,31.5,24.1,27.5,81.8,43.724,8.33
2013-02-26,32.2,24.9,27.3,85.9,34.542,20.83
2013-02-27,31.1,24.9,27.7,82.7,0.801,12.5
2013-02-28,33.3,25.6,28.2,82.4,5.046,8.33
2013-03-01,34.1,25.1,28.6,80.7,15.138,4.17
2013-03-02,32.9,25.8,28.5,82.5,0.721,4.17
2013-03-03,31.6,25.9,28.3,80.5,0,0
2013-03-04,32.2,25.7,28.4,73.2,0,0
2013-03-05,31.6,25.8,28,76.9,1.034,8.33
2013-03-06,31.6,25.8,28.1,78.1,0,0
2013-03-07,32.6,25.7,28.5,76.5,0,0
2013-03-08,31.9,26.6,28.7,75.8,0,0
2013-03-09,31.4,25.9,27.9,78.3,0.695,4.17
2013-03-10,32.8,25.6,27.6,82,2.163,4.17
2013-03-11,33.1,25.7,28.3,78.2,0,0
2013-03-12,32.8,25,28.4,73.9,0,0
2013-03-13,33.7,24.9,28.2,78.4,0,0
2013-03-14,32.6,25.7,28,79.7,0,0
2013-03-15,33.3,25.4,28.9,73.9,0,0
2013-03-16,33.6,26,29,75.2,0,0
2013-03-17,32.2,25.9,27.7,83.5,0.751,8.33
2013-03-18,33.6,25.7,28.8,74,9.29,4.17
2013-03-19,33.7,25.8,28.9,73.6,0,0
2013-03-20,33.2,25.9,29,72.1,0,0
2013-03-21,33.3,27.3,29.6,72.6,0,0
2013-03-22,32.8,26.7,28.8,78.4,26.045,8.33
2013-03-23,33.2,26.1,28.8,78.9,0,0
2013-03-24,33.6,26.8,28.8,78.8,0,0
2013-03-25,32.6,25.7,28.3,81.6,0,0
2013-03-26,32.6,24.3,28.4,79.5,11.286,8.33
2013-03-27,32.8,26.7,29.3,78.4,2.715,4.17
2013-03-28,32.3,26.6,29,79.8,0,0
2013-03-29,32.8,26.7,28.8,82,0.144,4.17
2013-03-30,33.9,26.5,28.9,79.7,0,0
2013-03-31,34.7,26.7,29.4,78,4.341,4.17
2013-04-01,34.6,26.7,28.9,80.5,14.417,4.17
2013-04-02,33.5,26.5,29,81.5,2.883,4.17
2013-04-03,33.9,26.6,28.9,79.5,5.209,4.17
2013-04-04,33.5,25.7,28,84.9,30.275,4.17
2013-04-05,34.4,25.9,29.8,76.3,0,0
2013-04-06,30.9,27,28.3,82.5,8.377,16.67
2013-04-07,31.6,26.9,28.9,76.1,4.752,4.17
2013-04-08,33.5,27.3,29,79.3,0,0
2013-04-09,32.8,26.6,28.8,78.5,0,0
2013-04-10,32.8,26.7,29.2,75.8,0,0
2013-04-11,30.7,25.8,28.1,77.3,0.347,4.17
2013-04-12,34.2,25.8,29.3,76.1,0,0
2013-04-13,34.2,25.9,29.5,78.2,8.24,8.33
2013-04-14,28.8,22.6,26.2,86.5,6.879,12.5
2013-04-15,35,25.7,29.7,75.9,0,0
2013-04-16,33.6,26.7,29.6,79.8,1.358,8.33
2013-04-17,32.9,24.4,28.7,77.9,17.174,8.33
2013-04-18,35.4,26.8,30.8,69.4,0,0
2013-04-19,29.6,24.9,27.7,84.3,2.239,12.5
2013-04-20,33.4,26.6,29.9,75.6,0.174,4.17
2013-04-21,31.9,24.7,27.1,85.8,3.328,8.33
2013-04-22,33.5,23.7,28.6,77,0,0
2013-04-23,31.5,26.5,28.6,81,0,0
2013-04-24,34,26.5,29,79.1,8.481,8.33
2013-04-25,33.3,26.6,29.4,78.3,0,0
2013-04-26,30.7,24.5,27.4,83.7,1.282,8.33
2013-04-27,32.8,26.7,28.3,82.7,3.197,12.5
2013-04-28,27.6,24,26.4,90.8,18.705,12.5
2013-04-29,33.2,25.5,28.5,80.5,0,0
2013-04-30,33.4,26.5,29.6,75.7,0,0
2013-05-01,31.5,26.7,28.8,80.8,0.993,8.33
2013-05-02,32.5,26.7,28.7,83.8,0,0
2013-05-03,30.8,27.3,28.5,83.7,0.174,4.17
